"Individual","Plot","eos"
"SORAME_SH_3A",10,221
"SORAME_GR_9B",10,225
"BETALL_GR_14",15,225
"BETALL_GR_14",16,225
"BETALL_GR_14",15,228
"ALNINC_HF_9",2,232
"BETALL_SH_5",9,232
"QUERUB_WM_9",9,232
"BETALL_GR_14",15,232
"BETALL_WM_9",9,235
"ALNINC_HF_9",15,235
"BETPOP_GR_5",1,239
"BETALL_SH_9",6,239
"ALNINC_HF_5",6,239
"BETALL_WM_8",9,239
"BETALL_SH_9",9,239
"BETALL_SH_4A",9,239
"BETALL_SH_4B",9,239
"BETALL_SH_7",16,239
"BETPAP_GR_8",6,246
"ALNINC_HF_9",15,246
"ALNINC_GR_8",16,246
"ALNINC_SH_5",2,253
"ALNINC_WM_5B",2,253
"BETALL_GR_1",3,253
"BETPAP_GR_8",5,253
"BETPOP_GR_5C",12,253
"BETALL_GR_13",15,253
"BETALL_WM_8A",5,256
"BETPOP_HF_3",1,260
"ALNINC_HF_2",1,260
"ALNINC_HF_1",1,260
"BETPOP_GR_5",1,260
"ALNINC_SH_4",2,260
"ACEPEN_WM_5",2,260
"BETPOP_GR_5B",3,260
"BETPAP_SH_1A",1,263
"BETPAP_SH_1B",1,263
"BETPAP_GR_5A",2,263
"BETALL_GR_13",2,263
"ALNINC_WM_5A",2,263
"BETPAP_HF_16",2,263
"BETPOP_HF_5",2,263
"BETALL_GR_9",3,263
"BETALL_SH_4",3,263
"BETPOP_GR_5A",3,263
"MYRGAL_SH_1B",4,263
"ALNINC_GR_8A",5,263
"BETPOP_HF_3A",6,263
"BETPOP_HF_3B",6,263
"BETALL_SH_5",6,263
"BETALL_SH_2",6,263
"ALNINC_HF_9",6,263
"ALNINC_SH_8",9,263
"BETPOP_HF_4",9,263
"SORAME_GR_9A",10,263
"ALNINC_SH_1",12,263
"BETPAP_GR_8",12,263
"BETPOP_WM_9",15,263
"ALNINC_HF_1",16,263
"ALNINC_WM_5B",16,263
"BETPOP_WM_7",1,268
"BETALL_GR_13",1,268
"BETALL_GR_12",1,268
"BETPOP_HF_1",2,268
"BETPAP_GR_8",3,268
"BETPOP_WM_7",3,268
"BETPOPX_X",3,268
"BETALL_WM_9",5,268
"ALNINC_GR_8B",5,268
"ALNINC_GR_1",5,268
"BETALL_WM_8B",5,268
"BETPAP_HF_16",5,268
"BETPOP_GR_5",6,268
"BETPOP_GR_3",6,268
"BETPOP_WM_7",6,268
"DIELON_GR_5C",7,268
"DIELON_HF_1B",7,268
"BETPOP_WM_7",9,268
"ALNINC_HF_9",9,268
"BETPOP_GR_5A",12,268
"BETPOP_GR_5B",12,268
"BETALL_WM_8A",12,268
"BETALL_WM_8B",12,268
"ALNINC_GR_11",15,268
"BETPOP_WM_7",15,268
"BETPOP_WM_8",15,268
"BETPOP_WM_8",16,268
"ALNINC_WM_2A",1,270
"BETPAP_HF_16",3,270
"BETPOP_HF_1",3,270
"BETPOP_HF_5",6,270
"BETPAP_GR_5",1,274
"ALNINC_GR_11",1,274
"ALNINC_WM_1",1,274
"BETPOP_WM_7",2,274
"ALNINC_GR_11A",3,274
"ALNINC_SH_5",3,274
"ALNINC_GR_1",3,274
"ALNINC_GR_8",3,274
"ALNINC_GR_11B",3,274
"BETPAP_HF_16A",6,274
"BETPAP_HF_16B",6,274
"ALNINC_HF_8",12,274
"BETPAP_HF_16",12,274
"VACMYR_WM_5",13,274
"ALNINC_SH_4",15,274
"ALNINC_WM_5A",16,274
"ALNINC_SH_3",16,274
"ALNINC_SH_1",1,277
"BETALL_WM_8",1,277
"VACMYR_WM_5",13,277
"SAMRAC_HF_B",13,277
"ALNINC_WM_5",1,281
"BETALL_GR_12",3,281
"ALNINC_SH_6",5,281
"SORAME_GR_9D",7,281
"VACMYR_WM_5",13,281
"VACMYR_GR_10A",13,281
"BETPOP_GR_3",16,281
"ALNINC_WM_2B",1,288
"SORAME_SH_3",7,288
"SORAME_GR_9B",10,288
"SORAME_SH_3",14,288
"AMECAN_GR_10",2,297
"AROMEL_WM_5",4,297
"SORAME_GR_9A",7,297
"SORAME_SH_1A",13,297
"SORAME_SH_1B",13,297
"SORAME_SH_3",13,297
"AMECAN_GR_10A",3,304
"AMECAN_SH_2",6,304
"AMECAN_GR_10",6,304
"SORAME_GR_9C",7,304
"ACESPI_GR_4",7,304
"ACESPI_WM_1",7,304
"BETPAP_GR_9",9,304
"ACESPI_GR_4",10,304
"VACMYR_GR_10C",13,304
"BETPAP_GR_5",1,311
"BETPAP_SH_1A",1,311
"BETALL_GR_13",1,311
"ALNINC_HF_2",1,311
"ALNINC_HF_1",1,311
"BETALL_GR_12",1,311
"BETPOP_GR_5",1,311
"BETPAP_GR_5B",2,311
"BETALL_SH_4",3,311
"BETPOP_GR_5A",3,311
"AMECAN_GR_10B",3,311
"BETALL_GR_1",3,311
"VIBCAS_SH_1",4,311
"AROMEL_WM_2",4,311
"SPIALB_GR_3",4,311
"AROMEL_WM_15",4,311
"SPITOM_WM_5D",4,311
"MYRGAL_GR_8D",4,311
"BETPAP_GR_8",5,311
"BETALL_WM_8A",5,311
"AMECAN_GR_10A",5,311
"AMECAN_GR_10B",5,311
"ACEPEN_WM_5",5,311
"BETALL_SH_9",6,311
"BETPOP_GR_5",6,311
"BETPAP_GR_8",6,311
"BETALL_SH_5",6,311
"BETALL_SH_2",6,311
"BETPAP_HF_16B",6,311
"SORAME_GR_9B",7,311
"SAMRAC_GR_7B",7,311
"SAMRAC_GR_4",7,311
"AROMEL_HF_4",8,311
"VIBCAS_SH_5A",8,311
"VIBCAS_WM_4",8,311
"AROMEL_WM_7",8,311
"VIBCAS_SH_5C",8,311
"SPITOM_HF_4",8,311
"SPITOM_GR_1",8,311
"VIBCAS_SH_1B",8,311
"SPITOM_HF_9B",8,311
"BETALL_WM_8",9,311
"BETALL_SH_9",9,311
"BETALL_SH_5",9,311
"BETALL_WM_9",9,311
"BETALL_SH_4A",9,311
"BETALL_SH_4B",9,311
"DIELON_SH_4",10,311
"SPITOM_GR_1A",11,311
"SPIALB_HF_10",11,311
"VIBCAS_WM_4",11,311
"SPIALB_WM_4A",11,311
"SPITOM_HF_5",11,311
"AROMEL_WM_5",11,311
"VIBCAS_GR_10",11,311
"SPITOM_GR_1A",11,311
"SPITOM_GR_1B",11,311
"AROMEL_HF_8A",11,311
"AROMEL_HF_8B",11,311
"AROMEL_HF_12",11,311
"ACEPEN_HF_12",12,311
"BETPOP_GR_5A",12,311
"BETPOP_GR_5B",12,311
"BETPOP_GR_5C",12,311
"BETALL_GR_13",15,311
"BETALL_GR_14",15,311
"AMECAN_SH_3",15,311
"SAMRAC_GR_4A",14,311
"BETPOP_WM_8",16,311
"BETALL_SH_7",16,311
